chapter,tokens_total,tokens_scored,coverage,mean_val_base_scored,mean_val_afinn_scored,mean_val_bing_scored,mean_val_nrc_scored,flag_low_coverage
1,1212,74,0.06105610561056106,0.15,0.043243243243243246,0.1891891891891892,0,TRUE
2,1078,96,0.08905380333951762,0.24052083333333332,0.0525,0.296875,0,TRUE
3,1394,104,0.0746054519368723,0.20124999999999998,0.030384615384615385,0.22307692307692306,0,TRUE
4,699,63,0.09012875536480687,0.07857142857142857,0.009523809523809521,0.10317460317460317,0,TRUE
5,881,76,0.08626560726447219,0.023026315789473683,-0.05263157894736842,0.08026315789473684,0,TRUE
6,796,55,0.06909547738693467,-0.06,0.038181818181818185,-0.06363636363636363,0,TRUE
7,405,20,0.04938271604938271,-0.01,0.010000000000000005,-0.1,0,TRUE
8,379,27,0.0712401055408971,-0.07962962962962962,0.044444444444444446,-0.05555555555555555,0,TRUE
9,1287,87,0.0675990675990676,0.3074712643678161,0.1471264367816092,0.34022988505747126,0,TRUE
10,1476,110,0.07452574525745258,0.08772727272727274,0.066,0.12818181818181817,0,TRUE
11,2139,157,0.07339878447872837,0.0432484076433121,-0.009299363057324839,0.05477707006369426,0,TRUE
12,1652,140,0.0847457627118644,-5.000000000000014e-4,0.006857142857142857,0.03785714285714285,0,TRUE
13,1902,171,0.08990536277602523,-0.12894736842105264,-0.0654970760233918,-0.08187134502923976,0,TRUE
14,1687,121,0.07172495554238292,0.201900826446281,0.10991735537190084,0.21983471074380168,0,TRUE
15,1330,111,0.08345864661654136,-0.19756756756756758,-0.11765765765765766,-0.14324324324324325,0,TRUE
16,1342,98,0.07302533532041729,0.1536734693877551,0.0669387755102041,0.18061224489795918,0,TRUE
17,1505,122,0.08106312292358804,0.1039344262295082,0.05377049180327868,0.13278688524590163,0,TRUE
18,1260,103,0.08174603174603175,-0.034563106796116495,0.012427184466019418,-0.02233009708737864,0,TRUE
19,1323,109,0.08238851095993953,-0.08036697247706422,-0.016146788990825688,-0.09266055045871559,0,TRUE
20,1117,83,0.07430617726051925,0.18650602409638556,0.027710843373493978,0.2,0,TRUE
21,2369,209,0.08822287885183622,-0.025741626794258378,0.0046889952153110065,-0.0014354066985645946,0,TRUE
22,1922,137,0.0712799167533819,0.007810218978102194,0.010802919708029197,7.29927007299269e-4,0,TRUE
23,1634,97,0.05936352509179926,0.08144329896907217,0.041237113402061855,0.07835051546391752,0,TRUE
24,1577,120,0.07609384908053266,0.13166666666666668,0.0525,0.13833333333333334,0,TRUE
25,1771,126,0.07114624505928854,0.08047619047619048,0.08444444444444445,0.09523809523809523,0,TRUE
26,1557,108,0.06936416184971098,0.050740740740740746,0.06537037037037037,0.062037037037037036,0,TRUE
27,1797,123,0.06844741235392321,0.04390243902439024,0.032520325203252036,0.08943089430894309,0,TRUE
28,1774,159,0.08962795941375423,-0.05742138364779874,-0.014716981132075476,-0.07169811320754717,0,TRUE
29,1724,134,0.0777262180974478,0.010895522388059698,0.023582089552238807,0.07537313432835821,0,TRUE
30,1782,151,0.08473625140291807,-0.2880132450331126,-0.08039735099337748,-0.27019867549668874,0,TRUE
31,1707,128,0.07498535442296426,0.126015625,0.0575,0.14296875,0,TRUE
32,870,67,0.07701149425287357,0.1191044776119403,-0.018507462686567167,0.08059701492537313,0,TRUE
33,2110,190,0.09004739336492891,0.05168421052631579,-0.007894736842105262,0.06789473684210527,0,TRUE
34,946,87,0.0919661733615222,-0.08758620689655172,-0.07172413793103448,-0.06436781609195402,0,TRUE
35,1152,86,0.07465277777777778,-0.048720930232558135,-0.0486046511627907,-0.04186046511627907,0,TRUE
36,740,58,0.07837837837837838,0.027586206896551727,0.017241379310344824,0.07586206896551725,0,TRUE
37,778,58,0.07455012853470437,0.13482758620689655,0.03517241379310345,0.16379310344827586,0,TRUE
