order,location,tokens,mean_neg_w,mean_amp_w,mean_down_w,flip_rate,mag_change
1,London,5264,0.04236322188449848,0.017667173252279636,0.0746580547112462,0.04046352583586626,0.9261501210653753
2,Suez/Aden,796,0.0037688442211055275,0,0.07537688442211055,0.0037688442211055275,0.8818181818181818
3,London,784,0.044642857142857144,0.007653061224489796,0.04974489795918367,0.042091836734693876,0.9468085106382979
4,Bombay,4902,0.031211750305997554,0.010607915136678907,0.052427580579355364,0.03080375356997144,0.9751412429378531
5,London,1652,0.023002421307506054,0.006658595641646489,0.08898305084745763,0.023002421307506054,0.9400000000000001
6,Bombay,1902,0.030494216614090432,0.007886435331230283,0.06046267087276551,0.029442691903259727,0.9415204678362573
7,Calcutta,1687,0.02133965619442798,0.004742145820983995,0.05986959098992294,0.02133965619442798,0.968595041322314
8,Bombay,1330,0.027819548872180452,0.006766917293233083,0.08045112781954887,0.027819548872180452,0.9603603603603603
9,Hong Kong,5430,0.044935543278084716,0.015285451197053407,0.04585635359116022,0.04383057090239411,0.9798611111111111
10,Yokohama/Japan,5408,0.039571005917159764,0.01793639053254438,0.06416420118343195,0.038461538461538464,0.9776223776223776
11,San Francisco,1634,0.01835985312117503,0.01591187270501836,0.09853121175030599,0.01835985312117503,0.9577319587628866
12,Yokohama/Japan,1577,0.040583386176284084,0.013950538998097653,0.05263157894736842,0.039315155358275206,0.9716666666666667
13,San Francisco,3328,0.03545673076923077,0.011117788461538462,0.05979567307692308,0.03545673076923077,0.9547008547008548
14,Transit,1797,0.037840845854201444,0.004451864218141347,0.06622148024485253,0.035614913745130775,0.9512195121951219
15,Atlantic/Liverpool,1774,0.03945885005636979,0.014656144306651634,0.0636978579481398,0.03945885005636979,0.9811320754716981
16,San Francisco,3506,0.03993154592127781,0.009697661152310326,0.05904164289788933,0.03822019395322305,0.9859649122807017
17,New York,1707,0.0421792618629174,0.011716461628588167,0.06854130052724078,0.0421792618629174,0.93984375
18,Atlantic/Liverpool,2980,0.052348993288590606,0.013087248322147652,0.05604026845637584,0.052348993288590606,0.9603112840466926
19,London,3616,0.04480088495575221,0.012168141592920354,0.05503318584070797,0.04480088495575221,0.9598615916955018
