Order,Location,Lexicon,Token coverage,Type coverage
1,London,AFINN,0.044,NA
1,London,Bing,0.059,NA
1,London,SenticNet,0.297,NA
2,Suez/Aden,AFINN,0.048,NA
2,Suez/Aden,Bing,0.050,NA
2,Suez/Aden,SenticNet,0.283,NA
3,London,AFINN,0.043,NA
3,London,Bing,0.037,NA
3,London,SenticNet,0.290,NA
4,Bombay,AFINN,0.045,NA
4,Bombay,Bing,0.052,NA
4,Bombay,SenticNet,0.310,NA
5,London,AFINN,0.050,NA
5,London,Bing,0.063,NA
5,London,SenticNet,0.347,NA
6,Bombay,AFINN,0.059,NA
6,Bombay,Bing,0.058,NA
6,Bombay,SenticNet,0.311,NA
7,Calcutta,AFINN,0.052,NA
7,Calcutta,Bing,0.049,NA
7,Calcutta,SenticNet,0.314,NA
8,Bombay,AFINN,0.059,NA
8,Bombay,Bing,0.047,NA
8,Bombay,SenticNet,0.321,NA
9,Hong Kong,AFINN,0.055,NA
9,Hong Kong,Bing,0.055,NA
9,Hong Kong,SenticNet,0.314,NA
10,Yokohama/Japan,AFINN,0.049,NA
10,Yokohama/Japan,Bing,0.058,NA
10,Yokohama/Japan,SenticNet,0.308,NA
11,San Francisco,AFINN,0.040,NA
11,San Francisco,Bing,0.041,NA
11,San Francisco,SenticNet,0.307,NA
12,Yokohama/Japan,AFINN,0.051,NA
12,Yokohama/Japan,Bing,0.051,NA
12,Yokohama/Japan,SenticNet,0.285,NA
13,San Francisco,AFINN,0.049,NA
13,San Francisco,Bing,0.047,NA
13,San Francisco,SenticNet,0.293,NA
14,Transit,AFINN,0.045,NA
14,Transit,Bing,0.047,NA
14,Transit,SenticNet,0.301,NA
15,Atlantic/Liverpool,AFINN,0.059,NA
15,Atlantic/Liverpool,Bing,0.058,NA
15,Atlantic/Liverpool,SenticNet,0.324,NA
16,San Francisco,AFINN,0.052,NA
16,San Francisco,Bing,0.056,NA
16,San Francisco,SenticNet,0.306,NA
17,New York,AFINN,0.053,NA
17,New York,Bing,0.047,NA
17,New York,SenticNet,0.306,NA
18,Atlantic/Liverpool,AFINN,0.053,NA
18,Atlantic/Liverpool,Bing,0.063,NA
18,Atlantic/Liverpool,SenticNet,0.302,NA
19,London,AFINN,0.057,NA
19,London,Bing,0.057,NA
19,London,SenticNet,0.280,NA
