Order,Location,Mean,95% CI,Coverage
1,London,0.15,"[0.077, 0.221]",0.08
2,Suez/Aden,-0.06,"[-0.230, 0.111]",0.07
3,London,-0.05,"[-0.229, 0.134]",0.06
4,Bombay,0.122,"[0.043, 0.200]",0.07
5,London,-0.001,"[-0.119, 0.127]",0.08
6,Bombay,-0.129,"[-0.227, -0.024]",0.09
7,Calcutta,0.202,"[0.081, 0.320]",0.07
8,Bombay,-0.198,"[-0.309, -0.076]",0.08
9,Hong Kong,0.036,"[-0.036, 0.103]",0.08
10,Yokohama/Japan,0.026,"[-0.050, 0.099]",0.08
11,San Francisco,0.081,"[-0.063, 0.224]",0.06
12,Yokohama/Japan,0.132,"[0.010, 0.251]",0.08
13,San Francisco,0.067,"[-0.021, 0.151]",0.07
14,Transit,0.044,"[-0.079, 0.172]",0.07
15,Atlantic/Liverpool,-0.057,"[-0.164, 0.055]",0.09
16,San Francisco,-0.147,"[-0.236, -0.056]",0.08
17,New York,0.126,"[0.011, 0.241]",0.07
18,Atlantic/Liverpool,0.069,"[-0.021, 0.161]",0.09
19,London,-0.008,"[-0.088, 0.077]",0.08
