word,n
the,4164
and,1634
of,1534
to,1321
a,1036
was,963
he,880
in,818
his,796
at,537
fogg,496
had,493
with,458
on,433
it,420
which,401
not,381
that,370
passepartout,369
as,353
by,321
mr,318
for,317
were,292
him,279
but,264
from,253
this,236
would,233
fix,209
they,207
be,200
phileas,200
an,190
said,182
who,178
her,149
been,142
one,140
their,137
its,129
all,126
aouda,121
could,121
did,120
have,120
himself,120
upon,111
when,111
is,109
if,105
there,105
them,102
train,102
up,101
or,100
after,99
so,99
now,93
out,93
time,93
more,92
replied,89
then,88
what,88
about,84
two,84
she,82
before,79
into,79
made,79
some,78
twenty,78
day,77
hundred,77
hours,73
passed,70
without,70
only,69
seemed,69
steamer,66
being,65
thousand,65
took,62
miles,60
detective,59
found,59
left,58
sir,58
where,57
five,56
than,56
through,56
asked,55
long,55
these,55
thought,55
very,54
london,53
still,53
